====== cProfile: ./utility/ias_client/cprof_ias_client.py ======

127.0.0.1 - - [03/May/2018 07:27:30] "POST /attestation/sgx/v2/report HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2018 07:27:30] "GET /attestation/sgx/v2/sigrl/gid HTTP/1.1" 200 -
         13991 function calls (13588 primitive calls) in 0.167 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      165    0.034    0.000    0.034    0.000 {built-in method posix.stat}
       84    0.007    0.000    0.062    0.001 <frozen importlib._bootstrap_external>:1215(find_spec)
      458    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      458    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     1001    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
       38    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
      559    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      504    0.002    0.000    0.010    0.000 {built-in method builtins.isinstance}
     50/9    0.002    0.000    0.007    0.001 abc.py:194(__subclasscheck__)
      458    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
       76    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
       38    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
       38    0.002    0.000    0.070    0.002 <frozen importlib._bootstrap>:879(_find_spec)
      389    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
       38    0.002    0.000    0.065    0.002 <frozen importlib._bootstrap_external>:1101(_get_spec)
      138    0.002    0.000    0.008    0.000 _collections_abc.py:675(__iter__)
      354    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      334    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
       38    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:729(get_code)
  353/348    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      161    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     38/2    0.001    0.000    0.089    0.044 <frozen importlib._bootstrap>:659(_load_unlocked)
      184    0.001    0.000    0.002    0.000 os.py:800(decode)
      298    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        3    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
      108    0.001    0.000    0.004    0.000 os.py:720(__getitem__)
        6    0.001    0.000    0.001    0.000 {method 'recv_into' of '_socket.socket' objects}
     38/2    0.001    0.000    0.114    0.057 <frozen importlib._bootstrap>:966(_find_and_load)
      108    0.001    0.000    0.002    0.000 os.py:796(encode)
      280    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       38    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
